VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB3L,King,Kirkland,WA,98033,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,48,1868562,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
5YJ3E1EB0J,Thurston,Tumwater,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,22,253804267,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
5YJXCDE24L,Kitsap,Seabeck,WA,98380,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,35,219900628,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035091301
7FCTGAAA5N,Thurston,Yelm,WA,98597,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,2,228332982,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ1CP6J,Thurston,Olympia,WA,98502,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,22,476275600,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
KNDCE3LG5K,Thurston,Yelm,WA,98597,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,2,275199676,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012531
1C4RJXP64R,Yakima,Yakima,WA,98908,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,14,273075925,POINT (-120.60199 46.59817),PACIFICORP,53077002801
5YJSA1E29J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,22,211037095,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
WA1E2AFY9M,Island,Oak Harbor,WA,98277,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,10,153852786,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970402
1N4BZ1DP1L,Kitsap,Silverdale,WA,98383,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,23,142917904,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
5YJSA1E23H,Kitsap,Bremerton,WA,98337,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,26,260175702,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
1FMCU0E12R,Kitsap,Port Orchard,WA,98366,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,26,277988756,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600
KNDPYDDH1S,Snohomish,Lynnwood,WA,98087,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,21,278025401,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
7SAYGDEE7P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,230919958,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
5YJXCAE45G,Yakima,Yakima,WA,98902,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,14,238708410,POINT (-120.51904 46.59783),PACIFICORP,53077000700
1FADP5CU7G,King,Seattle,WA,98125,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,46,8653760,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
KNDPYDDH3R,Kitsap,Port Orchard,WA,98367,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,35,274467308,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EA0P,Kitsap,Poulsbo,WA,98370,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,259918389,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJXCBE20J,King,Renton,WA,98055,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,11,126310607,POINT (-122.19488 47.44035),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308
1N4BZ0CP0H,Snohomish,Arlington,WA,98223,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,39,3376460,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061053507
1N4AZ1CP9L,Snohomish,Bothell,WA,98012,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,1,127496155,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052009
WBA7W4C07L,Snohomish,Lynnwood,WA,98087,2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,21,255369957,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041901
5YJ3E1EBXK,Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,10,289687443,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970601
1N4AZ0CP2F,King,Seattle,WA,98177,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,32,119219593,POINT (-122.37238 47.74068),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
5YJXCDE2XG,Snohomish,Everett,WA,98204,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,21,348460990,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EB1J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,39,476146177,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052105
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14,152408714,POINT (-120.51904 46.59783),PACIFICORP,53077000600
1FTVW1EV0P,Kitsap,Poulsbo,WA,98370,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,265070333,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
5YJSA1E68M,Yakima,Selah,WA,98942,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,179246672,POINT (-120.53145 46.65405),PACIFICORP,53077003400
5YJYGDEE6L,King,Duvall,WA,98019,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,45,132329228,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
2C4RC1L73N,Thurston,Olympia,WA,98506,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,22,278469348,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1N4AZ0CP0D,King,Kirkland,WA,98034,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,1,7975264,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
1G1FZ6S02L,Kitsap,Bremerton,WA,98337,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,26,274627748,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035081200
1C4RJXP6XR,Island,Oak Harbor,WA,98277,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,10,264335774,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970402
KNDJX3AE8G,King,Bellevue,WA,98008,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,48,192798875,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
KNDJX3AE1G,Kitsap,Poulsbo,WA,98370,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,23,289165698,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
5YJ3E1EA6K,Snohomish,Bothell,WA,98021,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,1,281768588,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJ3E1EB1L,King,Sammamish,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,41,6358355,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224
